
### maxopt_dynamic.log
	LiIon	Flywheel	Supercapacitor	Margin	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
173	0.0	0.0	1.0	24.0	0.47	213155.99	361.29	1.7	110.36	956.76	168.0	1581.92
196	0.0	1.0	0.0	24.0	0.47	214345.31	337.58	1.59	108.63	299.18	69.0	493.34
339	0.0	0.0	2.0	24.0	0.46	216500.15	361.29	1.7	110.36	956.76	168.0	1581.92
178	0.0	1.0	1.0	24.0	0.46	218763.66	361.29	1.7	110.36	956.76	168.0	1581.92
198	1.0	0.0	1.0	24.0	0.46	215903.16	361.29	1.7	110.36	956.76	168.0	1581.92
316	0.0	0.0	3.0	24.0	0.45	219844.3	361.29	1.7	110.36	956.76	168.0	1581.92

### fluctopt_equalized.log
	LiIon	Flywheel	Supercapacitor	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
270	5.0	1.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34
45	3.0	7.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34
54	5.0	3.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34
304	2.0	4.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34
160	2.0	2.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34
97	9.0	2.0	0.0	24.0	296.34	337.46	337.46	1.59	108.63	299.18	69.0	493.34

### maxopt_greedy.log
	LiIon	Flywheel	Supercapacitor	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought
120	0.0	0.0	0.0	772.17	129.5	891.0	4.36	129.5
279	1.0	0.0	0.0	565.15	176.94	9247.77	42.3	176.94
114	0.0	1.0	0.0	565.15	176.94	9339.53	42.84	176.94
202	0.0	0.0	2.0	368.86	271.11	9578.22	43.34	271.11
185	0.0	1.0	1.0	365.97	273.25	9646.62	44.28	273.25
174	1.0	1.0	0.0	363.12	275.39	9601.8	44.05	275.39

### maxopt_equalized.log
	LiIon	Flywheel	Supercapacitor	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
283	3.0	1.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34
264	4.0	2.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34
265	6.0	8.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34
200	3.0	3.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34
268	3.0	6.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34
269	6.0	4.0	0.0	24.0	920.58	108.63	337.46	1.59	108.63	299.18	69.0	493.34

### sumaboveopt_const.log
	LiIon	Flywheel	Supercapacitor	Margin	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
193	9.0	9.0	0.0	0.182	12.79	7817.08	365.59	1.7	113.8	1656.54	97.0	7817.08
171	9.0	8.0	0.0	0.1611	11.39	8776.83	354.34	1.65	113.8	1744.5	96.0	8776.83
165	8.0	9.0	0.0	0.1611	11.36	8805.51	353.63	1.65	113.8	1753.56	97.0	8805.51
253	9.0	7.0	0.0	0.1611	11.31	8845.31	359.44	1.68	113.8	1763.38	97.0	8845.31
259	8.0	8.0	0.0	0.1611	11.27	8874.9	358.17	1.67	113.8	1766.28	97.0	8874.9
220	7.0	8.0	0.0	0.1611	11.14	8974.51	360.89	1.69	113.8	1774.08	97.0	8974.51

### costopt_const.log
	LiIon	Flywheel	Supercapacitor	Margin	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
222	0.0	0.0	0.0	0.1828	0.48	209902.85	466.5	2.22	113.8	2146.64	153.0	9669.84
204	0.0	0.0	2.0	0.1828	0.46	219565.31	359.17	1.62	113.8	1951.99	128.0	9177.32
177	0.0	0.0	1.0	0.0823	0.46	216137.71	335.27	1.55	113.8	2675.89	129.0	17224.02
188	0.0	2.0	0.0	0.0711	0.45	220438.2	365.91	1.75	113.8	2549.05	114.0	17612.3
75	1.0	0.0	2.0	0.1717	0.45	223679.88	350.48	1.58	113.8	2033.02	126.0	9919.09
114	0.0	1.0	2.0	0.0648	0.44	227322.57	273.17	1.23	113.8	2735.81	124.0	18762.93

### peaksumopt_dynamic.log
	LiIon	Flywheel	Supercapacitor	Margin	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
342	8.0	0.0	0.0	0.0966	24.0	436.32	229.19	232.28	1.07	100.96	229.19	22.0	535.97
328	9.0	0.0	0.0	0.1134	24.0	413.12	242.06	258.63	1.19	102.69	242.06	29.0	527.1
330	7.0	0.0	0.0	0.1134	24.0	413.12	242.06	261.94	1.21	102.69	242.06	29.0	527.1
